Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2019-10-14 00:00,0.772,0.025,1,0,0,0,p
2019-10-14 00:06,0.777,0.033,0,0,0,0,p
2019-10-14 00:12,0.778,0.032,0,0,0,0,p
2019-10-14 00:18,0.775,0.029,0,0,0,0,p
2019-10-14 00:24,0.780,0.032,0,0,0,0,p
2019-10-14 00:30,0.780,0.037,0,0,0,0,p
2019-10-14 00:36,0.775,0.030,0,0,0,0,p
2019-10-14 00:42,0.777,0.030,0,0,0,0,p
2019-10-14 00:48,0.778,0.028,1,0,0,0,p
2019-10-14 00:54,0.764,0.025,1,0,0,0,p
2019-10-14 01:00,0.758,0.034,0,0,0,0,p
2019-10-14 01:06,0.761,0.031,0,0,0,0,p
2019-10-14 01:12,0.753,0.031,1,0,0,0,p
2019-10-14 01:18,0.751,0.029,1,0,0,0,p
2019-10-14 01:24,0.749,0.029,1,0,0,0,p
2019-10-14 01:30,0.742,0.028,0,0,0,0,p
2019-10-14 01:36,0.741,0.029,0,0,0,0,p
2019-10-14 01:42,0.729,0.029,1,0,0,0,p
2019-10-14 01:48,0.727,0.034,0,0,0,0,p
2019-10-14 01:54,0.723,0.028,1,0,0,0,p
2019-10-14 02:00,0.701,0.029,0,0,0,0,p
2019-10-14 02:06,0.693,0.030,0,0,0,0,p
2019-10-14 02:12,0.690,0.033,1,0,0,0,p
2019-10-14 02:18,0.674,0.023,0,0,0,0,p
2019-10-14 02:24,0.667,0.028,0,0,0,0,p
2019-10-14 02:30,0.655,0.024,1,0,0,0,p
2019-10-14 02:36,0.634,0.022,1,0,0,0,p
2019-10-14 02:42,0.622,0.025,0,0,0,0,p
2019-10-14 02:48,0.598,0.028,1,0,0,0,p
2019-10-14 02:54,0.583,0.030,0,0,0,0,p
2019-10-14 03:00,0.569,0.028,0,0,0,0,p
2019-10-14 03:06,0.550,0.026,0,0,0,0,p
2019-10-14 03:12,0.535,0.034,0,0,0,0,p
2019-10-14 03:18,0.503,,1,0,0,0,p
2019-10-14 03:24,0.480,0.027,1,0,0,0,p
2019-10-14 03:30,0.463,0.028,0,0,0,0,p
2019-10-14 03:36,0.439,0.027,0,0,0,0,p
2019-10-14 03:42,0.418,0.027,0,0,0,0,p
2019-10-14 03:48,0.388,0.025,0,0,0,0,p
2019-10-14 03:54,0.366,0.025,0,0,0,0,p
2019-10-14 04:00,0.345,0.027,0,0,0,0,p
2019-10-14 04:06,0.331,0.018,1,0,0,0,p
2019-10-14 04:12,0.315,0.026,0,0,0,0,p
2019-10-14 04:18,0.304,0.024,0,0,0,0,p
2019-10-14 04:24,0.269,0.022,0,0,0,0,p
2019-10-14 04:30,0.254,0.020,0,0,0,0,p
2019-10-14 04:36,0.242,0.022,0,0,0,0,p
2019-10-14 04:42,0.223,0.018,1,0,0,0,p
2019-10-14 04:48,0.202,0.023,0,0,0,0,p
2019-10-14 04:54,0.173,0.024,0,0,0,0,p
2019-10-14 05:00,0.156,0.022,0,0,0,0,p
2019-10-14 05:06,0.135,0.025,0,0,0,0,p
2019-10-14 05:12,0.120,0.023,0,0,0,0,p
2019-10-14 05:18,0.106,0.023,0,0,0,0,p
2019-10-14 05:24,0.088,0.020,0,0,0,0,p
2019-10-14 05:30,0.069,0.018,0,0,0,0,p
2019-10-14 05:36,0.048,0.024,0,0,0,0,p
2019-10-14 05:42,0.029,0.023,1,0,0,0,p
2019-10-14 05:48,0.012,0.020,1,0,0,0,p
2019-10-14 05:54,-0.006,0.020,1,0,0,0,p
